timestamp,processId,threadId,parentProcessId,userId,mountNamespace,processName,hostName,eventId,eventName,stackAddresses,argsNum,returnValue,args,sus,evil
1809.495787,381,7337,1,100,4026532231,close,ip-10-100-1-120,157,prctl,"[140662171848350, 11649800180280676]",5,0,"[{'name': 'option', 'type': 'int', 'value': 'PR_SET_NAME'}, {'name': 'arg2', 'type': 'unsigned long', 'value': 94819493392601}, {'name': 'arg3', 'type': 'unsigned long', 'value': 94819493392601}, {'name': 'arg4', 'type': 'unsigned long', 'value': 140662171848350}, {'name': 'arg5', 'type': 'unsigned long', 'value': 140662156379904}]",1,0
1809.495832,381,7337,1,100,4026532231,close,ip-10-100-1-120,3,close,[140662171777451],1,0,"[{'name': 'fd', 'type': 'int', 'value': 19}]",1,0
1809.495921,381,7337,1,100,4026532231,close,ip-10-100-1-120,1010,sched_process_exit,[],0,0,[],1,0
1894.139651,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,21,access,[],2,-2,"[{'name': 'pathname', 'type': 'const char*', 'value': '/etc/ld.so.preload'}, {'name': 'mode', 'type': 'int*', 'value': 'R_OK'}]",1,0
1894.142127,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,1005,security_file_open,"[139778263990104, 139778263906698]",4,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/etc/ld.so.cache'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_LARGEFILE'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 62841}]",1,0
1894.142589,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,257,openat,"[139778263990104, 139778263906698]",4,3,"[{'name': 'dirfd', 'type': 'int', 'value': -100}, {'name': 'pathname', 'type': 'const char*', 'value': '/etc/ld.so.cache'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_CLOEXEC'}, {'name': 'mode', 'type': 'int*', 'value': 2848309080}]",1,0
1894.142753,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,5,fstat,[],2,0,"[{'name': 'fd', 'type': 'int', 'value': 3}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA471A40'}]",1,0
1894.143329,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 3}]",1,0
1894.143403,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,1005,security_file_open,"[139778263990104, 139778263906765]",4,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/lib/x86_64-linux-gnu/libc-2.31.so'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_LARGEFILE'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 3429}]",1,0
1894.143855,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,257,openat,"[139778263990104, 139778263906765]",4,3,"[{'name': 'dirfd', 'type': 'int', 'value': -100}, {'name': 'pathname', 'type': 'const char*', 'value': '/lib/x86_64-linux-gnu/libc.so.6'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_CLOEXEC'}, {'name': 'mode', 'type': 'int*', 'value': 2848309080}]",1,0
1894.144259,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,5,fstat,"[139778263989545, 139778263905819]",2,0,"[{'name': 'fd', 'type': 'int', 'value': 3}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA471A90'}]",1,0
1894.145427,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,3,close,[],1,0,"[{'name': 'fd', 'type': 'int', 'value': 3}]",1,0
1894.14771,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,4,stat,"[139778262902314, 94072473714803]",2,-2,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/local/sbin/run-parts'}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA4724B0'}]",1,0
1894.14959,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,4,stat,"[139778262902314, 94072473714803]",2,-2,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/local/bin/run-parts'}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA4724B0'}]",1,0
1894.149924,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,4,stat,"[139778262902314, 94072473714803]",2,-2,"[{'name': 'pathname', 'type': 'const char*', 'value': '/sbin/run-parts'}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA4724B0'}]",1,0
1894.150057,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,4,stat,[],2,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/bin/run-parts'}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFCAA4724B0'}]",1,0
1894.15095,7347,7347,7341,0,4026531840,sh,ip-10-100-1-120,56,clone,[139778262728895],5,7348,"[{'name': 'flags', 'type': 'int', 'value': 'CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F20A9B280BF'}, {'name': 'tls', 'type': 'unsigned long', 'value': 0}]",1,0
1894.151534,7348,7348,7347,0,4026531840,sh,ip-10-100-1-120,59,execve,"[139778262729467, 94072473734232, 94072473714803]",2,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/bin/run-parts'}, {'name': 'argv', 'type': 'const char*const*', 'value': ['run-parts', '--report', '/etc/cron.hourly']}]",1,0
1894.15331,7348,7348,7347,0,4026531840,sh,ip-10-100-1-120,1004,security_bprm_check,"[139778262729467, 94072473734232, 94072473714803]",3,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/bin/run-parts'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 1585}]",1,0
1894.154757,7348,7348,7347,0,4026531840,run-parts,ip-10-100-1-120,21,access,[],2,-2,"[{'name': 'pathname', 'type': 'const char*', 'value': '/etc/ld.so.preload'}, {'name': 'mode', 'type': 'int*', 'value': 'R_OK'}]",1,0
1894.15507,7348,7348,7347,0,4026531840,run-parts,ip-10-100-1-120,1005,security_file_open,"[139810257510232, 139810257426826]",4,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/etc/ld.so.cache'}, {'name': 'flags', 'type': 'int', 'value': 'O_RDONLY|O_LARGEFILE'}, {'name': 'dev', 'type': 'dev_t', 'value': 211812353}, {'name': 'inode', 'type': 'unsigned long', 'value': 62841}]",1,0
